Index,Course,School,Number,Title,Description
0,AAE 20000,AAE,20000,Undergraduate Sophomore Seminar,"The courses are intended to provide a forum for guest speakers, organizational and informational meetings with undergraduates, and to provide a venue for discussion of professional development."
1,AAE 20300,AAE,20300,Aeromechanics I,"Fundamental concepts and principles of bodies in motion, with applications to aeronautical and astronautical problems. Subjects covered include rectilinear motion, curvilinear motion, rotation, and plane motion. The static equilibrium and quasistatic equilibrium situations are treated as a part of motion in which the acceleration is zero. Problems involving impact, separation, work, and energy are considered."
2,AAE 20400,AAE,20400,Aeromechanics II,"Loads on aircraft. Strain, stress, and equations of equilibrium. Description of aircraft structures and materials. Torsion of shafts. Fuselage and wing structures. Symmetrical bending and stiffness analysis of solid and stringer-panel box beams. Structural failures."
3,AAE 20401,AAE,20401,Aeromechanics II Laboratory,"Introduction to strain gauges, dial gauges, and photoelasticity. Tensile test. Torsion of solid and hollow propeller shafts. Stress concentration around skin cut-outs. Bending of symmetrical box wing beams. Combined axial and flexural test of aircraft stringers. Buckling of slender stringers."
4,AAE 25100,AAE,25100,Introduction To Aerospace Design,"The role of design in aerospace engineering. Introduction to aerodynamics, performance, propulsion, structures, stability and control, and weights. Layout and general arrangement of aerospace vehicles. Design concept generation and selection. Computational methods for design. Trade studies and graphical optimization. Conceptual design exercise involving aircraft, spacecraft, or both. Technical presentations and communication for aerospace engineering."
5,AAE 29199,AAE,29199,Professional Practice Extensive Co-Op I,Professional experience in aeronautics and astronautics. Program coordinated by school with cooperation of participating employers. Students submit summary report and company evaluation. Professional Practice students only. Permission of department required.
6,AAE 29299,AAE,29299,Professional Practice Extensive Co-Op II,Professional experience in aeronautics and astronautics. Program coordinated by school with cooperation of participating employers. Students submit summary report and company evaluation. Professional Practice students only. Permission of department required.
7,AAE 30000,AAE,30000,Undergraduate Junior Seminar,"The courses are intended to provide a forum for guest speakers, organizational and informational meetings with undergraduates, and to provide a venue for discussion of professional development."
8,AAE 30100,AAE,30100,Signal Analysis For Aerospace Engineering,"Signal processing and spectral analysis for aerospace engineering. Fourier and fast Fourier transforms. Vibration analysis; estimation of natural frequencies, wing vibrations. Introduction to linear circuits, operational amplifiers and filtering. Noise suppression."
9,AAE 33300,AAE,33300,Fluid Mechanics,"Kinematics of fluids and conservation equations for mass, momentum, and energy. Viscous and inviscid incompressible flow. Lift and drag in subsonic flow. Introduction to compressibility and boundary layers. Potential flow."
